Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Chevrolet Onix,12.950,10.325,12.192,10.607,10.896,11.586,11.591,12.422,12.592,14.087,15.700,18.432,153.380
2º,Hyundai HB20,8.965,7.849,10.475,9.832,9.249,9.533,9.697,10.263,10.020,11.350,12.136,12.234,121.603
3º,Ford Ka,4.345,5.549,7.223,5.191,6.358,5.811,7.235,7.043,6.611,6.193,7.636,7.421,76.616
4º,Chevrolet Prisma,5.467,4.408,5.411,4.998,5.356,5.525,5.932,5.848,5.344,5.313,5.927,6.811,66.340
5º,Toyota Corolla,4.243,4.997,5.984,5.825,5.428,5.417,5.919,6.030,4.797,5.119,4.970,6.015,64.744
6º,Fiat Palio,8.011,5.503,4.715,4.110,5.290,4.335,6.022,6.751,3.920,3.821,5.250,6.272,64.000
7º,Renault Sandero,3.002,3.545,4.253,4.847,4.756,6.013,5.700,6.657,4.992,6.085,7.029,6.353,63.232
8º,Volkswagen Gol,3.941,3.867,5.296,6.533,6.914,5.943,6.466,4.525,2.185,1.861,5.182,7.330,60.043
9º,Fiat Strada,3.989,4.590,5.357,5.427,4.274,5.276,5.924,6.009,4.409,4.234,4.987,4.975,59.451
10º,Honda HR-V,4.283,4.711,6.059,5.447,5.162,5.222,4.338,4.906,3.844,3.758,3.714,4.325,55.769
11º,Jeep Renegade,4.990,3.964,4.284,4.047,4.407,4.014,4.746,4.483,4.461,4.811,3.394,3.999,51.600
12º,Hyundai HB20S,3.589,3.692,3.936,3.832,4.001,3.930,3.804,3.857,3.234,3.086,4.399,4.666,46.026
13º,Fiat Toro,31,1.117,3.080,3.954,3.526,4.040,4.313,4.291,3.288,4.288,4.073,5.288,41.289
14º,Volkswagen Fox,4.293,4.234,4.751,3.830,3.439,3.559,3.582,3.212,2.195,1.843,1.397,3.656,39.991
15º,Volkswagen up!,3.325,3.190,3.791,3.278,3.227,3.488,3.407,3.003,1.863,2.736,3.660,3.390,38.358
16º,Toyota Etios,2.538,2.779,3.580,2.090,2.436,3.291,4.336,4.094,2.869,3.172,3.136,3.655,37.976
17º,Fiat Uno,3.334,3.279,3.952,3.124,1.874,2.802,2.955,2.835,1.595,2.328,3.869,2.699,34.646
18º,Toyota Hilux,2.838,2.249,3.440,2.744,2.926,2.791,2.649,2.784,2.749,2.332,2.857,3.672,34.031
19º,Volkswagen Saveiro,3.263,2.927,3.040,3.042,3.462,3.566,3.908,3.838,2.292,996,1.358,2.262,33.954
20º,Toyota Etios Sedã,1.803,1.777,2.452,2.197,2.564,2.928,2.899,3.188,2.721,2.318,2.204,2.742,29.793
,,,,,,,,,,,,,,
21º,Fiat Mobi,,,94,1.062,2.407,2.822,3.603,3.840,3.264,3.372,3.718,4.555,28.737
22º,Honda Fit,2.456,2.038,2.334,2.219,2.227,2.278,2.309,2.276,2.146,2.328,2.590,3.240,28.441
23º,Fiat Siena,3.219,3.092,3.781,3.143,2.882,2.611,2.579,2.279,2.173,2.649,,,28.408
24º,Ford EcoSport,1.807,1.997,2.327,2.233,2.006,2.148,2.409,3.072,2.841,2.781,2.218,2.268,28.107
